User_ID,Subscription_Type,Join_Date,Churn_Flag,Age,Gender,Monthly_Viewing_Hours,Genres_Watched,Support_Tickets,Discount_Used,Payment_Method,Auto_Renew_Enabled,Last_Login_Date,Number_of_Devices
1917ba4a-9eb2-4737-adf6-52c68429e60d,Standard,28/08/2024,1,64,Other,56.3,7,2,No,Credit Card,Yes,30/04/2025,3
a7dddc1b-317d-4261-8f21-997c9188561f,Premium,25/09/2023,0,29,M,31.3,4,1,Yes,Mobile Money,No,11/4/2025,3
99ba7fe2-b0f5-43ec-9501-93260544723d,Free Trial,3/11/2024,0,33,F,47.2,6,1,No,Credit Card,No,13/04/2025,1
e43ac1e7-6d1e-4c72-a71a-76ef31a6ced6,Standard,19/08/2024,0,41,F,81,4,0,Yes,Mobile Money,Yes,21/04/2025,4
d55d7e3f-b956-4423-b9da-3fc1eef1c0ef,Standard,4/5/2025,0,36,Other,45.7,6,3,No,PayPal,No,3/5/2025,5
afb3ecbc-04a5-4a8c-8103-b27e10050ed1,Premium,19/08/2024,0,25,F,37.3,4,2,Yes,Mobile Money,No,15/04/2025,1
8d1b6110-5bc6-47d2-967e-2867dcb925bc,Free Trial,12/11/2024,1,48,M,28.3,6,2,No,Mobile Money,No,26/04/2025,1
08044339-574a-4411-88ba-f336cf3a4651,Free Trial,4/1/2024,0,38,F,37.1,3,1,No,PayPal,No,11/4/2025,4
a8468096-a2f6-4b03-8355-edf331038a33,Standard,4/7/2023,1,34,Other,26.7,7,1,No,Mobile Money,No,13/04/2025,2
a74fd531-d730-4263-9b2e-fdbe478b1b76,Basic,17/09/2023,1,40,F,44,3,1,No,PayPal,Yes,24/04/2025,1
e766212f-8eb6-479c-9a96-24e5712b74be,Standard,28/08/2023,0,54,F,41.6,6,1,No,Mobile Money,Yes,29/04/2025,3
a783cd98-da3e-4473-8a3c-a777d0556b8c,Standard,10/7/2023,0,33,F,7.6,7,1,Yes,PayPal,No,13/04/2025,3
55df8df2-75dc-4fee-bd8d-4995b730cf12,Standard,20/10/2023,1,23,Other,39.7,1,0,No,Credit Card,No,6/4/2025,5
b54591aa-2bd9-4705-adb4-5af162ee47ed,Standard,30/01/2024,0,25,F,56.1,6,0,No,Mobile Money,Yes,19/04/2025,1
3153d573-432a-4f64-a678-68c1e814f9ce,Premium,20/10/2023,0,42,F,34,4,1,No,Mobile Money,Yes,13/04/2025,5
8d5b8cdc-9db0-4eba-92af-bca6215ffd15,Free Trial,8/2/2025,1,35,M,30.2,2,0,Yes,Mobile Money,No,6/4/2025,1
8c0f68d6-b2a0-434a-87b8-7c84db9329d8,Premium,27/03/2024,1,42,Other,19.3,2,0,No,PayPal,Yes,26/04/2025,4
b8bfe614-388a-40e7-83ab-95c7ca2ea9b5,Premium,21/09/2024,0,29,F,12.1,5,0,Yes,Mobile Money,No,17/04/2025,1
d42d4284-3946-4074-adc7-0063346f1a10,Premium,20/08/2023,1,32,Other,52.5,5,2,No,PayPal,No,22/04/2025,2
f44e3d8c-91b4-4d91-b82f-98732b252c25,Standard,7/10/2024,0,43,F,37.3,3,3,Yes,Mobile Money,No,22/04/2025,3
7366bf80-943a-40a9-b871-189bd3755d94,Basic,9/10/2023,0,58,F,51.6,5,1,No,Credit Card,No,14/04/2025,4
